-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Latitude  26.9157   Longitude 70.9083 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 173.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2024,1,1,0,0.0
2024,1,1,1,0.0
2024,1,1,2,0.0
2024,1,1,3,0.0
2024,1,1,4,0.0
2024,1,1,5,0.0
2024,1,1,6,0.0
2024,1,1,7,27.83
2024,1,1,8,174.43
2024,1,1,9,335.95
2024,1,1,10,487.15
2024,1,1,11,579.75
2024,1,1,12,644.08
2024,1,1,13,589.6
2024,1,1,14,481.12
2024,1,1,15,320.38
2024,1,1,16,138.05
2024,1,1,17,11.1
2024,1,1,18,0.0
2024,1,1,19,0.0
2024,1,1,20,0.0
2024,1,1,21,0.0
2024,1,1,22,0.0
2024,1,1,23,0.0
2024,1,2,0,0.0
2024,1,2,1,0.0
2024,1,2,2,0.0
2024,1,2,3,0.0
2024,1,2,4,0.0
2024,1,2,5,0.0
2024,1,2,6,0.0
2024,1,2,7,30.58
2024,1,2,8,193.65
2024,1,2,9,376.5
2024,1,2,10,534.03
2024,1,2,11,628.85
2024,1,2,12,671.28
2024,1,2,13,626.22
2024,1,2,14,517.25
2024,1,2,15,351.17
2024,1,2,16,157.55
2024,1,2,17,12.68
2024,1,2,18,0.0
2024,1,2,19,0.0
2024,1,2,20,0.0
2024,1,2,21,0.0
2024,1,2,22,0.0
2024,1,2,23,0.0
2024,1,3,0,0.0
2024,1,3,1,0.0
2024,1,3,2,0.0
2024,1,3,3,0.0
2024,1,3,4,0.0
2024,1,3,5,0.0
2024,1,3,6,0.0
2024,1,3,7,27.92
2024,1,3,8,182.73
2024,1,3,9,360.48
2024,1,3,10,520.1
2024,1,3,11,615.25
2024,1,3,12,671.47
2024,1,3,13,635.67
2024,1,3,14,510.5
2024,1,3,15,343.38
2024,1,3,16,154.07
2024,1,3,17,13.4
2024,1,3,18,0.0
2024,1,3,19,0.0
2024,1,3,20,0.0
2024,1,3,21,0.0
2024,1,3,22,0.0
2024,1,3,23,0.0
2024,1,4,0,0.0
2024,1,4,1,0.0
2024,1,4,2,0.0
2024,1,4,3,0.0
2024,1,4,4,0.0
2024,1,4,5,0.0
2024,1,4,6,0.0
2024,1,4,7,23.7
2024,1,4,8,154.0
2024,1,4,9,305.25
2024,1,4,10,450.23
2024,1,4,11,572.72
2024,1,4,12,670.03
2024,1,4,13,631.9
2024,1,4,14,512.7
2024,1,4,15,345.98
2024,1,4,16,154.3
2024,1,4,17,13.38
2024,1,4,18,0.0
2024,1,4,19,0.0
2024,1,4,20,0.0
2024,1,4,21,0.0
2024,1,4,22,0.0
2024,1,4,23,0.0
2024,1,5,0,0.0
2024,1,5,1,0.0
2024,1,5,2,0.0
2024,1,5,3,0.0
2024,1,5,4,0.0
2024,1,5,5,0.0
2024,1,5,6,0.0
2024,1,5,7,25.88
2024,1,5,8,151.5
2024,1,5,9,294.98
2024,1,5,10,444.35
2024,1,5,11,557.1
2024,1,5,12,661.0
2024,1,5,13,619.15
2024,1,5,14,486.4
2024,1,5,15,332.02
2024,1,5,16,152.02
2024,1,5,17,13.95
2024,1,5,18,0.0
2024,1,5,19,0.0
2024,1,5,20,0.0
2024,1,5,21,0.0
2024,1,5,22,0.0
2024,1,5,23,0.0
2024,1,6,0,0.0
2024,1,6,1,0.0
2024,1,6,2,0.0
2024,1,6,3,0.0
2024,1,6,4,0.0
2024,1,6,5,0.0
2024,1,6,6,0.0
2024,1,6,7,28.6
2024,1,6,8,185.3
2024,1,6,9,354.83
2024,1,6,10,503.95
2024,1,6,11,596.8
2024,1,6,12,668.4
2024,1,6,13,625.05
2024,1,6,14,515.47
2024,1,6,15,351.73
2024,1,6,16,161.0
2024,1,6,17,15.12
2024,1,6,18,0.0
2024,1,6,19,0.0
2024,1,6,20,0.0
2024,1,6,21,0.0
2024,1,6,22,0.0
2024,1,6,23,0.0
2024,1,7,0,0.0
2024,1,7,1,0.0
2024,1,7,2,0.0
2024,1,7,3,0.0
2024,1,7,4,0.0
2024,1,7,5,0.0
2024,1,7,6,0.0
2024,1,7,7,29.1
2024,1,7,8,185.27
2024,1,7,9,362.02
2024,1,7,10,514.45
2024,1,7,11,617.9
2024,1,7,12,688.15
2024,1,7,13,639.97
2024,1,7,14,532.9
2024,1,7,15,366.62
2024,1,7,16,170.62
2024,1,7,17,16.65
2024,1,7,18,0.0
2024,1,7,19,0.0
2024,1,7,20,0.0
2024,1,7,21,0.0
2024,1,7,22,0.0
2024,1,7,23,0.0
2024,1,8,0,0.0
2024,1,8,1,0.0
2024,1,8,2,0.0
2024,1,8,3,0.0
2024,1,8,4,0.0
2024,1,8,5,0.0
2024,1,8,6,0.0
2024,1,8,7,26.65
2024,1,8,8,167.43
2024,1,8,9,323.73
2024,1,8,10,461.23
2024,1,8,11,600.75
2024,1,8,12,666.58
2024,1,8,13,628.12
2024,1,8,14,519.12
2024,1,8,15,355.55
2024,1,8,16,164.77
2024,1,8,17,16.3
2024,1,8,18,0.0
2024,1,8,19,0.0
2024,1,8,20,0.0
2024,1,8,21,0.0
2024,1,8,22,0.0
2024,1,8,23,0.0
2024,1,9,0,0.0
2024,1,9,1,0.0
2024,1,9,2,0.0
2024,1,9,3,0.0
2024,1,9,4,0.0
2024,1,9,5,0.0
2024,1,9,6,0.0
2024,1,9,7,26.05
2024,1,9,8,168.1
2024,1,9,9,337.08
2024,1,9,10,496.42
2024,1,9,11,608.12
2024,1,9,12,677.1
2024,1,9,13,634.97
2024,1,9,14,523.9
2024,1,9,15,357.92
2024,1,9,16,165.82
2024,1,9,17,17.12
2024,1,9,18,0.0
2024,1,9,19,0.0
2024,1,9,20,0.0
2024,1,9,21,0.0
2024,1,9,22,0.0
2024,1,9,23,0.0
2024,1,10,0,0.0
2024,1,10,1,0.0
2024,1,10,2,0.0
2024,1,10,3,0.0
2024,1,10,4,0.0
2024,1,10,5,0.0
2024,1,10,6,0.0
2024,1,10,7,28.73
2024,1,10,8,194.7
2024,1,10,9,376.25
2024,1,10,10,532.38
2024,1,10,11,637.33
2024,1,10,12,704.55
2024,1,10,13,668.6
2024,1,10,14,558.85
2024,1,10,15,392.1
2024,1,10,16,190.38
2024,1,10,17,20.77
2024,1,10,18,0.0
2024,1,10,19,0.0
2024,1,10,20,0.0
2024,1,10,21,0.0
2024,1,10,22,0.0
2024,1,10,23,0.0
2024,1,11,0,0.0
2024,1,11,1,0.0
2024,1,11,2,0.0
2024,1,11,3,0.0
2024,1,11,4,0.0
2024,1,11,5,0.0
2024,1,11,6,0.0
2024,1,11,7,35.25
2024,1,11,8,220.9
2024,1,11,9,417.1
2024,1,11,10,575.42
2024,1,11,11,675.28
2024,1,11,12,727.75
2024,1,11,13,687.4
2024,1,11,14,578.12
2024,1,11,15,410.67
2024,1,11,16,204.7
2024,1,11,17,23.73
2024,1,11,18,0.0
2024,1,11,19,0.0
2024,1,11,20,0.0
2024,1,11,21,0.0
2024,1,11,22,0.0
2024,1,11,23,0.0
2024,1,12,0,0.0
2024,1,12,1,0.0
2024,1,12,2,0.0
2024,1,12,3,0.0
2024,1,12,4,0.0
2024,1,12,5,0.0
2024,1,12,6,0.0
2024,1,12,7,36.5
2024,1,12,8,225.4
2024,1,12,9,425.2
2024,1,12,10,585.55
2024,1,12,11,685.83
2024,1,12,12,732.08
2024,1,12,13,673.65
2024,1,12,14,561.42
2024,1,12,15,392.73
2024,1,12,16,198.75
2024,1,12,17,24.8
2024,1,12,18,0.0
2024,1,12,19,0.0
2024,1,12,20,0.0
2024,1,12,21,0.0
2024,1,12,22,0.0
2024,1,12,23,0.0
2024,1,13,0,0.0
2024,1,13,1,0.0
2024,1,13,2,0.0
2024,1,13,3,0.0
2024,1,13,4,0.0
2024,1,13,5,0.0
2024,1,13,6,0.0
2024,1,13,7,34.8
2024,1,13,8,214.57
2024,1,13,9,417.35
2024,1,13,10,591.75
2024,1,13,11,668.22
2024,1,13,12,659.17
2024,1,13,13,687.85
2024,1,13,14,556.72
2024,1,13,15,390.85
2024,1,13,16,191.82
2024,1,13,17,23.33
2024,1,13,18,0.0
2024,1,13,19,0.0
2024,1,13,20,0.0
2024,1,13,21,0.0
2024,1,13,22,0.0
2024,1,13,23,0.0
2024,1,14,0,0.0
2024,1,14,1,0.0
2024,1,14,2,0.0
2024,1,14,3,0.0
2024,1,14,4,0.0
2024,1,14,5,0.0
2024,1,14,6,0.0
2024,1,14,7,29.67
2024,1,14,8,184.27
2024,1,14,9,349.9
2024,1,14,10,512.62
2024,1,14,11,628.33
2024,1,14,12,702.0
2024,1,14,13,656.92
2024,1,14,14,505.05
2024,1,14,15,347.02
2024,1,14,16,167.93
2024,1,14,17,21.42
2024,1,14,18,0.0
2024,1,14,19,0.0
2024,1,14,20,0.0
2024,1,14,21,0.0
2024,1,14,22,0.0
2024,1,14,23,0.0
2024,1,15,0,0.0
2024,1,15,1,0.0
2024,1,15,2,0.0
2024,1,15,3,0.0
2024,1,15,4,0.0
2024,1,15,5,0.0
2024,1,15,6,0.0
2024,1,15,7,29.33
2024,1,15,8,192.45
2024,1,15,9,377.88
2024,1,15,10,539.17
2024,1,15,11,643.1
2024,1,15,12,722.42
2024,1,15,13,682.3
2024,1,15,14,571.03
2024,1,15,15,401.73
2024,1,15,16,198.55
2024,1,15,17,24.8
2024,1,15,18,0.0
2024,1,15,19,0.0
2024,1,15,20,0.0
2024,1,15,21,0.0
2024,1,15,22,0.0
2024,1,15,23,0.0
2024,1,16,0,0.0
2024,1,16,1,0.0
2024,1,16,2,0.0
2024,1,16,3,0.0
2024,1,16,4,0.0
2024,1,16,5,0.0
2024,1,16,6,0.0
2024,1,16,7,28.08
2024,1,16,8,180.88
2024,1,16,9,362.4
2024,1,16,10,524.8
2024,1,16,11,624.95
2024,1,16,12,703.8
2024,1,16,13,655.25
2024,1,16,14,546.88
2024,1,16,15,379.08
2024,1,16,16,184.8
2024,1,16,17,23.48
2024,1,16,18,0.0
2024,1,16,19,0.0
2024,1,16,20,0.0
2024,1,16,21,0.0
2024,1,16,22,0.0
2024,1,16,23,0.0
2024,1,17,0,0.0
2024,1,17,1,0.0
2024,1,17,2,0.0
2024,1,17,3,0.0
2024,1,17,4,0.0
2024,1,17,5,0.0
2024,1,17,6,0.0
2024,1,17,7,27.73
2024,1,17,8,182.98
2024,1,17,9,366.35
2024,1,17,10,523.58
2024,1,17,11,631.12
2024,1,17,12,688.3
2024,1,17,13,640.47
2024,1,17,14,532.38
2024,1,17,15,366.65
2024,1,17,16,179.12
2024,1,17,17,23.15
2024,1,17,18,0.0
2024,1,17,19,0.0
2024,1,17,20,0.0
2024,1,17,21,0.0
2024,1,17,22,0.0
2024,1,17,23,0.0
2024,1,18,0,0.0
2024,1,18,1,0.0
2024,1,18,2,0.0
2024,1,18,3,0.0
2024,1,18,4,0.0
2024,1,18,5,0.0
2024,1,18,6,0.0
2024,1,18,7,25.48
2024,1,18,8,165.98
2024,1,18,9,335.73
2024,1,18,10,495.42
2024,1,18,11,601.35
2024,1,18,12,681.08
2024,1,18,13,644.05
2024,1,18,14,539.15
2024,1,18,15,375.2
2024,1,18,16,188.32
2024,1,18,17,24.92
2024,1,18,18,0.0
2024,1,18,19,0.0
2024,1,18,20,0.0
2024,1,18,21,0.0
2024,1,18,22,0.0
2024,1,18,23,0.0
2024,1,19,0,0.0
2024,1,19,1,0.0
2024,1,19,2,0.0
2024,1,19,3,0.0
2024,1,19,4,0.0
2024,1,19,5,0.0
2024,1,19,6,0.0
2024,1,19,7,29.62
2024,1,19,8,183.73
2024,1,19,9,363.08
2024,1,19,10,519.9
2024,1,19,11,622.42
2024,1,19,12,689.62
2024,1,19,13,652.05
2024,1,19,14,545.25
2024,1,19,15,382.27
2024,1,19,16,191.27
2024,1,19,17,27.45
2024,1,19,18,0.0
2024,1,19,19,0.0
2024,1,19,20,0.0
2024,1,19,21,0.0
2024,1,19,22,0.0
2024,1,19,23,0.0
2024,1,20,0,0.0
2024,1,20,1,0.0
2024,1,20,2,0.0
2024,1,20,3,0.0
2024,1,20,4,0.0
2024,1,20,5,0.0
2024,1,20,6,0.0
2024,1,20,7,28.7
2024,1,20,8,183.07
2024,1,20,9,362.35
2024,1,20,10,524.25
2024,1,20,11,630.47
2024,1,20,12,714.45
2024,1,20,13,672.8
2024,1,20,14,562.05
2024,1,20,15,393.35
2024,1,20,16,195.1
2024,1,20,17,28.15
2024,1,20,18,0.0
2024,1,20,19,0.0
2024,1,20,20,0.0
2024,1,20,21,0.0
2024,1,20,22,0.0
2024,1,20,23,0.0
2024,1,21,0,0.0
2024,1,21,1,0.0
2024,1,21,2,0.0
2024,1,21,3,0.0
2024,1,21,4,0.0
2024,1,21,5,0.0
2024,1,21,6,0.0
2024,1,21,7,29.6
2024,1,21,8,189.38
2024,1,21,9,378.77
2024,1,21,10,550.25
2024,1,21,11,657.35
2024,1,21,12,729.62
2024,1,21,13,693.08
2024,1,21,14,567.17
2024,1,21,15,402.2
2024,1,21,16,206.3
2024,1,21,17,31.05
2024,1,21,18,0.0
2024,1,21,19,0.0
2024,1,21,20,0.0
2024,1,21,21,0.0
2024,1,21,22,0.0
2024,1,21,23,0.0
2024,1,22,0,0.0
2024,1,22,1,0.0
2024,1,22,2,0.0
2024,1,22,3,0.0
2024,1,22,4,0.0
2024,1,22,5,0.0
2024,1,22,6,0.0
2024,1,22,7,28.38
2024,1,22,8,173.57
2024,1,22,9,349.45
2024,1,22,10,515.97
2024,1,22,11,578.97
2024,1,22,12,655.33
2024,1,22,13,635.58
