location,panel_area_m2,ghi_daily_kwh_m2,total_solar_harvest_Wh,mass_penalty_Wh,net_energy_Wh,flight_hours_120W,flight_hours_220W,mission_24h_feasible,energy_deficit_24h_Wh,panel_mass_kg,total_uav_mass_kg
Palakkad,0.2,5.0,153.89999999999998,15.600000000000001,138.29999999999998,1.2824999999999998,0.6995454545454545,False,2741.7,0.24,1.04
Jaisalmer,0.2,5.39,165.9042,15.600000000000001,150.3042,1.382535,0.7541100000000001,False,2729.6958,0.24,1.04
Palakkad,0.4,5.0,307.79999999999995,19.2,288.59999999999997,2.5649999999999995,1.399090909090909,False,2591.3999999999996,0.48,1.28
Jaisalmer,0.4,5.39,331.8084,19.2,312.6084,2.76507,1.5082200000000001,False,2567.3916,0.48,1.28
Palakkad,0.6000000000000001,5.0,461.7,22.8,438.9,3.8474999999999997,2.0986363636363636,False,2441.1000000000004,0.7200000000000001,1.52
Jaisalmer,0.6000000000000001,5.39,497.7126,22.8,474.9126,4.147605,2.26233,False,2405.0874000000003,0.7200000000000001,1.52
Palakkad,0.8,5.0,615.5999999999999,26.4,589.1999999999999,5.129999999999999,2.798181818181818,False,2290.8,0.96,1.76
Jaisalmer,0.8,5.39,663.6168,26.4,637.2168,5.53014,3.0164400000000002,False,2242.7832,0.96,1.76
Palakkad,1.0,5.0,769.5,30.0,739.5,6.4125,3.4977272727272726,False,2140.5,1.2,2.0
Jaisalmer,1.0,5.39,829.521,30.0,799.521,6.912674999999999,3.7705499999999996,False,2080.4790000000003,1.2,2.0
Palakkad,1.2,5.0,923.3999999999999,33.6,889.7999999999998,7.6949999999999985,4.197272727272726,False,1990.2,1.44,2.24
Jaisalmer,1.2,5.39,995.4251999999998,33.6,961.8251999999998,8.295209999999999,4.524659999999999,False,1918.1748000000002,1.44,2.24
Palakkad,1.4000000000000001,5.0,1077.3000000000002,37.2,1040.1000000000001,8.977500000000001,4.896818181818182,False,1839.8999999999996,1.6800000000000002,2.4800000000000004
Jaisalmer,1.4000000000000001,5.39,1161.3293999999999,37.2,1124.1293999999998,9.677744999999998,5.27877,False,1755.8706,1.6800000000000002,2.4800000000000004
Palakkad,1.6,5.0,1231.1999999999998,40.8,1190.3999999999999,10.259999999999998,5.596363636363636,False,1689.6000000000004,1.92,2.7199999999999998
Jaisalmer,1.6,5.39,1327.2336,40.8,1286.4336,11.06028,6.0328800000000005,False,1593.5664000000002,1.92,2.7199999999999998
Palakkad,1.8,5.0,1385.1,44.4,1340.6999999999998,11.542499999999999,6.295909090909091,False,1539.3000000000002,2.16,2.96
Jaisalmer,1.8,5.39,1493.1378,44.4,1448.7377999999999,12.442815,6.78699,False,1431.2622000000001,2.16,2.96
Palakkad,2.0,5.0,1539.0,48.0,1491.0,12.825,6.995454545454545,False,1389.0,2.4,3.2
Jaisalmer,2.0,5.39,1659.042,48.0,1611.042,13.825349999999998,7.541099999999999,False,1268.958,2.4,3.2
Palakkad,2.2,5.0,1692.8999999999999,51.60000000000001,1641.3,14.107499999999998,7.694999999999999,False,1238.7,2.64,3.4400000000000004
Jaisalmer,2.2,5.39,1824.9462,51.60000000000001,1773.3462000000002,15.207885000000001,8.29521,False,1106.6537999999998,2.64,3.4400000000000004
Palakkad,2.4000000000000004,5.0,1846.8,55.20000000000001,1791.6,15.389999999999999,8.394545454545455,False,1088.3999999999999,2.8800000000000003,3.6800000000000006
Jaisalmer,2.4000000000000004,5.39,1990.8504,55.20000000000001,1935.6504,16.59042,9.04932,False,944.3495999999998,2.8800000000000003,3.6800000000000006
Palakkad,2.6000000000000005,5.0,2000.7,58.80000000000001,1941.9,16.6725,9.094090909090909,False,938.1000000000001,3.1200000000000006,3.920000000000001
Jaisalmer,2.6000000000000005,5.39,2156.7546,58.80000000000001,2097.9546,17.972955000000002,9.80343,False,782.0454,3.1200000000000006,3.920000000000001
Palakkad,2.8000000000000003,5.0,2154.6000000000004,62.400000000000006,2092.2000000000003,17.955000000000002,9.793636363636365,False,787.7999999999997,3.3600000000000003,4.16
Jaisalmer,2.8000000000000003,5.39,2322.6587999999997,62.400000000000006,2260.2587999999996,19.355489999999996,10.55754,False,619.7412000000004,3.3600000000000003,4.16
Palakkad,3.0000000000000004,5.0,2308.5,66.0,2242.5,19.2375,10.493181818181819,False,637.5,3.6000000000000005,4.4
Jaisalmer,3.0000000000000004,5.39,2488.563,66.0,2422.563,20.738025,11.31165,False,457.4369999999999,3.6000000000000005,4.4
Palakkad,3.2,5.0,2462.3999999999996,69.6,2392.7999999999997,20.519999999999996,11.192727272727272,False,487.2000000000003,3.84,4.64
Jaisalmer,3.2,5.39,2654.4672,69.6,2584.8672,22.12056,12.065760000000001,False,295.13279999999986,3.84,4.64
Palakkad,3.4000000000000004,5.0,2616.2999999999997,73.2,2543.1,21.8025,11.892272727272726,False,336.9000000000001,4.08,4.88
Jaisalmer,3.4000000000000004,5.39,2820.3714,73.2,2747.1714,23.503095,12.81987,False,132.82859999999982,4.08,4.88
Palakkad,3.6000000000000005,5.0,2770.2000000000003,76.8,2693.4,23.085,12.591818181818184,False,186.5999999999999,4.32,5.12
Jaisalmer,3.6000000000000005,5.39,2986.2756000000004,76.8,2909.4756,24.885630000000003,13.573980000000002,True,-29.475600000000213,4.32,5.12
Palakkad,3.8000000000000003,5.0,2924.1,80.4,2843.7,24.3675,13.291363636363636,False,36.30000000000018,4.5600000000000005,5.36
Jaisalmer,3.8000000000000003,5.39,3152.1798,80.4,3071.7798,26.268165,14.32809,True,-191.7797999999998,4.5600000000000005,5.36
Palakkad,4.0,5.0,3078.0,84.0,2994.0,25.65,13.99090909090909,True,-114.0,4.8,5.6
Jaisalmer,4.0,5.39,3318.084,84.0,3234.084,27.650699999999997,15.082199999999998,True,-354.08399999999983,4.8,5.6
Palakkad,4.2,5.0,3231.9,87.6,3144.3,26.9325,14.690454545454546,True,-264.3000000000002,5.04,5.84
Jaisalmer,4.2,5.39,3483.9882,87.6,3396.3882,29.033234999999998,15.83631,True,-516.3881999999999,5.04,5.84
Palakkad,4.4,5.0,3385.7999999999997,91.2,3294.6,28.214999999999996,15.389999999999999,True,-414.5999999999999,5.28,6.08
Jaisalmer,4.4,5.39,3649.8924,91.2,3558.6924000000004,30.415770000000002,16.59042,True,-678.6924000000004,5.28,6.08
Palakkad,4.6000000000000005,5.0,3539.7000000000003,94.80000000000001,3444.9,29.497500000000002,16.089545454545455,True,-564.9000000000001,5.5200000000000005,6.32
Jaisalmer,4.6000000000000005,5.39,3815.7965999999997,94.80000000000001,3720.9965999999995,31.798304999999996,17.34453,True,-840.9965999999995,5.5200000000000005,6.32
Palakkad,4.800000000000001,5.0,3693.6,98.4,3595.2,30.779999999999998,16.78909090909091,True,-715.1999999999998,5.760000000000001,6.5600000000000005
Jaisalmer,4.800000000000001,5.39,3981.7008,98.4,3883.3008,33.18084,18.09864,True,-1003.3008,5.760000000000001,6.5600000000000005
Palakkad,5.000000000000001,5.0,3847.5000000000005,102.00000000000001,3745.5000000000005,32.06250000000001,17.488636363636367,True,-865.5000000000005,6.000000000000001,6.800000000000001
Jaisalmer,5.000000000000001,5.39,4147.6050000000005,102.00000000000001,4045.6050000000005,34.563375,18.852750000000004,True,-1165.6050000000005,6.000000000000001,6.800000000000001
